"almacen","clave_item","ingrediente","um","ubicacion","tipo","lote","fecha_ingreso","dias_estadia","exis_inicial","exis_final","consumo_total","periodo_id","id"
"MOSCAMED","272881.0","PIGMENTO ORANGE","KG","ING 1","IICA","01-Reposicion siniestro 00083/2023","2024-09-17",NULL,"250.0","250.0","0.0","DICIEMBRE 2025",1
"MOSCAMED","272881.0","PIGMENTO ORANGE","KG","ING 1","SENASICA","01-Reposicion siniestro 00083/202","2024-09-17",NULL,"350.0","350.0","0.0","DICIEMBRE 2025",2
"MOSCAMED","263094.0","CAJA DE ENVIO","KG","ING 1","SENASICA",NULL,"2024-08-05",NULL,"100.0","100.0","0.0","DICIEMBRE 2025",3
"MOSCAFRUT","203071.0","AZUCAR","KG","MOSCAFRUT","SENASICA","4","2025-08-06",NULL,"8450.0","0.0","8450.0","DICIEMBRE 2025",4
"MOSCAFRUT","203071.0","AZUCAR","KG","MOSCAFRUT","SENASICA","5","2025-09-02",NULL,"20000.0","18600.0","1400.0","DICIEMBRE 2025",5
"MOSCAFRUT","203071.0","AZUCAR","KG","MOSCAFRUT","SENASICA","6","2025-10-07",NULL,"20000.0","20000.0","0.0","DICIEMBRE 2025",6
"MOSCAFRUT","203071.0","AZUCAR","KG","MOSCAFRUT","SENASICA","7","2025-10-04",NULL,"10600.0","10600.0","0.0","DICIEMBRE 2025",7
"MOSCAFRUT","230098.0","LEVADURA","KG","MOSCAFRUT","SENASICA","2","2025-08-26",NULL,"7280.28","0.0","7280.28","DICIEMBRE 2025",8
"MOSCAFRUT","230098.0","LEVADURA","KG","MOSCAFRUT","SENASICA","3","2025-10-09",NULL,"19051.2","18824.4","226.79999999999927","DICIEMBRE 2025",9
"MOSCAFRUT","230098.0","LEVADURA","KG","MOSCAFRUT","SENASICA","4","2025-11-13",NULL,"13608.4","13608.4","0.0","DICIEMBRE 2025",10
"MOSCAFRUT","274690.0","ACIDO CITRICO","KG","MOSCAFRUT","SENASICA","2","2025-05-07",NULL,"2875.0","2150.0","725.0","DICIEMBRE 2025",11
"MOSCAFRUT","274690.0","ACIDO CITRICO","KG","MOSCAFRUT","SENASICA","3","2025-09-11",NULL,"4600.0","4600.0","0.0","DICIEMBRE 2025",12
"MOSCAFRUT","274688.0","BENZOATO DE SODIO","KG","MOSCAFRUT","SENASICA","1","2025-04-25",NULL,"3875.0","3525.0","350.0","DICIEMBRE 2025",13
"MOSCAFRUT","275320.0","PROTEINA HIDROLIZADA","LB","FERRETERIA","SENASICA","2","2025-06-10",NULL,"300.0","100.0","200.0","DICIEMBRE 2025",14
"MOSCAFRUT","275320.0","PROTEINA HIDROLIZADA","LB","MOSCAFRUT","SENASICA","3","2025-11-11",NULL,"1800.0","1800.0","0.0","DICIEMBRE 2025",15
"MOSCAFRUT","231330.0","HARINA DE OLOTE","KG","MOSCAFRUT","SENASICA","8","2025-11-11",NULL,"23400.0","4500.0","18900.0","DICIEMBRE 2025",16
"MOSCAFRUT","231330.0","HARINA DE OLOTE","KG","MOSCAFRUT","SENASICA","9","2025-12-09",NULL,"21625.0","21625.0","0.0","DICIEMBRE 2025",17
"MOSCAFRUT","229966.0","HARINA DE MAIZ  (MINSA)","KG","MOSCAFRUT","SENASICA","5","2025-10-10",NULL,"3420.0","0.0","3420.0","DICIEMBRE 2025",18
"MOSCAFRUT","229966.0","HARINA DE MAIZ  (MINSA)","KG","MOSCAFRUT","SENASICA","6","2025-11-07",NULL,"18000.0","4880.0","13120.0","DICIEMBRE 2025",19
